  Filter   RA_diff  DEC_diff    Mag_obs    Mag_cal  ref_in  Mag_diff  pct_im   std_obs      Diff
0      V  0.000102  0.000045  14.510128  14.526760       1 -0.016632     1.0  0.015407  0.016632
1      V  0.000106  0.000057  15.136328  15.115295       1  0.021032     1.0  0.014781  0.021032
2      V  0.000119  0.000055  15.249278  15.254565       1 -0.005288     1.0  0.014280  0.005288
3      V  0.000083  0.000051  15.461878  15.447569       1  0.014309     1.0  0.013821  0.014309
4      V  0.000132  0.000054  15.364628  15.380196       1 -0.015568     1.0  0.023735  0.015568
5      V  0.000096  0.000056  15.753778  15.770203       1 -0.016425     1.0  0.020545  0.016425
6      V  0.000086  0.000062  15.904128  15.896890       1  0.007238     1.0  0.024449  0.007238
7      V  0.000116  0.000048  16.270178  16.264444       1  0.005733     1.0  0.024551  0.005733
8      V  0.000098  0.000048  15.979578  15.987055       1 -0.007477     1.0  0.018576  0.007477
9      V  0.000090  0.000065  16.548878  16.547810       1  0.001068     1.0  0.022561  0.001068
0      B  0.000100  0.000045  15.096361  15.070838       1  0.025523     1.0  0.004876  0.025523
1      B  0.000101  0.000055  15.982961  15.970406       1  0.012555     1.0  0.006302  0.012555
2      B  0.000122  0.000055  16.099461  16.113966       1 -0.014505     1.0  0.013790  0.014505
3      B  0.000084  0.000048  16.235961  16.235195       1  0.000765     1.0  0.009150  0.000765
4      B  0.000128  0.000048  15.924611  15.923208       1  0.001402     1.0  0.004366  0.001402
5      B  0.000106  0.000055  16.514211  16.543917       1 -0.029706     1.0  0.006623  0.029706
6      B  0.000093  0.000058  16.105961  16.085016       1  0.020944     1.0  0.011436  0.020944
7      B  0.000113  0.000042  16.984111  17.017824       1 -0.033714     1.0  0.021045  0.033714
8      B  0.000099  0.000045  16.116361  16.095802       1  0.020558     1.0  0.005066  0.020558
9      B  0.000086  0.000055  17.260211  17.258415       1  0.001795     1.0  0.010388  0.001795
0      R  0.000093  0.000044  14.154413  14.175057       1 -0.020645     1.0       NaN  0.020645
1      R  0.000087  0.000038  14.593413  14.576571       1  0.016842     1.0       NaN  0.016842
2      R  0.000105  0.000047  14.715413  14.713246       1  0.002166     1.0       NaN  0.002166
3      R  0.000073  0.000048  14.956413  14.949619       1  0.006793     1.0       NaN  0.006793
4      R  0.000119  0.000037  15.027413  15.029131       1 -0.001718     1.0       NaN  0.001718
5      R  0.000092  0.000058  15.275413  15.280648       1 -0.005235     1.0       NaN  0.005235
6      R  0.000071  0.000055  15.753413  15.756310       1 -0.002897     1.0       NaN  0.002897
7      R  0.000105  0.000038  15.786413  15.787147       1 -0.000734     1.0       NaN  0.000734
8      R  0.000098  0.000050  15.909413  15.893127       1  0.016285     1.0       NaN  0.016285
9      R  0.000069  0.000049  16.085413  16.096264       1 -0.010851     1.0       NaN  0.010851
0      I  0.000105  0.000062  13.707155  13.692015       1  0.015140     1.0       NaN  0.015140
1      I  0.000113  0.000075  13.911155  13.887642       1  0.023513     1.0       NaN  0.023513
2      I  0.000125  0.000074  14.035155  14.054194       1 -0.019040     1.0       NaN  0.019040
3      I  0.000089  0.000067  14.334155  14.319226       1  0.014928     1.0       NaN  0.014928
4      I  0.000138  0.000067  14.597155  14.597346       1 -0.000192     1.0       NaN  0.000192
5      I  0.000105  0.000075  14.655155  14.657829       1 -0.002675     1.0       NaN  0.002675
6      I  0.000107  0.000090  15.507155  15.529101       1 -0.021947     1.0       NaN  0.021947
7      I  0.000117  0.000064  15.174155  15.177726       1 -0.003571     1.0       NaN  0.003571
8      I  0.000104  0.000062  15.710155  15.724891       1 -0.014736     1.0       NaN  0.014736
9      I  0.000105  0.000083  15.492155  15.483581       1  0.008574     1.0       NaN  0.008574
