id,M15_1_Ndata,M15_1_amplitude,M15_1_chi2/N,M15_1_data_avg_err,M15_1_dec,M15_1_dist,M15_1_fname,M15_1_period,M15_1_period_err,M15_1_ra,M15_2_Ndata,M15_2_amplitude,M15_2_chi2/N,M15_2_data_avg_err,M15_2_dec,M15_2_dist,M15_2_fname,M15_2_period,M15_2_period_err,M15_2_ra,M15_3_Ndata,M15_3_amplitude,M15_3_chi2/N,M15_3_data_avg_err,M15_3_dec,M15_3_dist,M15_3_fname,M15_3_period,M15_3_period_err,M15_3_ra,M15_4_Ndata,M15_4_amplitude,M15_4_chi2/N,M15_4_data_avg_err,M15_4_dec,M15_4_dist,M15_4_fname,M15_4_period,M15_4_period_err,M15_4_ra,period,period_err,amplitude,N_data,chi2/N,data_mag_mean_err,dist_to_GCVS_deg,field,pick_method,H&M_id,ra,dec,p_corwin,p_silbermann,p_ferro,p_siegel,priors_mag_upper,priors_mag_lower,priors_period_guess,p1,p2,p_bailey,p_wemple,p_filippenko,p_hogg,confidences,err_cut,periors_mag_lower,mean_mag,type,pf,A1,Af
V001,,,,,,,,,,,97.0,1.0250919599781518,0.038468920280963416,0.008698412698412698,12.173964199999999,0.4177136753050985,002.dat,1.4378019788335772,5.064682648921707e-07,322.4590257,,,,,,,,,,,116.0,1.055348596045457,0.05877492374690443,0.011090163934426292,12.1739703,0.6243691447502944,009.dat,1.4378374343288505,3.6616514364762e-07,322.4589576,1.4378374343288505,3.6616514364762e-07,1.0710000000000002,116.0,0.05877492374690443,0.011090163934426292,0.6243691447502944,M15_4,Ndata,M15_4_009,322.4589576,12.1739703,1.4378,1.437712,,1.437775,,,,1.074824051156864,,1.43744,1.4375,,1.437712,1.0,,,14.987350427350426,Cepheid,1.4378374343288505,0.12443617527314645,1.135919011967122
V002,,,,,,,,,,,106.0,0.5511954062033695,0.14528558438675002,0.02245637583892615,12.168692199999999,0.37082266383398266,036.dat,0.6843059467359083,2.0034238285904487e-06,322.4437742,,,,,,,,,,,104.0,0.5119689162758974,0.07059588408634578,0.0232857142857143,12.1686981,0.5117034638457543,051.dat,0.6842913304868363,4.707907781381039e-06,322.4437317,0.6843043746429507,1.601162570293833e-07,0.488,106.0,0.14528558438675002,0.02245637583892615,0.37082266383398266,M15_2,dist_to_GCVS,M15_2_036,322.4437742,12.168692199999999,,0.6843,0.6843,0.6841473000000001,15.4,,,0.5060267062837717,,0.66352,0.6842699999999999,0.684349,0.6843,1.0,,,15.741275862068965,RRab,0.6843043746429507,0.21055396248119074,0.5918726174508429
V003,,,,,,,,,,,149.0,0.5179636176176832,0.02157785568651039,0.013835365853658526,12.153865199999998,0.45130445867976504,030.dat,0.3887206321304071,8.549905664571803e-06,322.4221923,,,,,,,,,,,,,,,,,,,,,0.3887206321304071,8.549905664571803e-06,0.4840000000000005,149.0,0.02157785568651039,0.013835365853658526,0.45130445867976504,M15_2,Ndata,M15_2_030,322.4221923,12.153865199999998,,0.388746,0.388746,0.3887274000000001,,,,0.3887206321304071,,0.381915,0.3891545,0.388761,0.388746,1.0,,,15.828361842105265,RRc,0.5196812018666515,0.5399362287058391,0.07292481688835828
V004,,,,,,,,,,,148.0,0.6653167085131333,0.8078653344015769,0.013756097560975613,12.1215959,0.2843190844090013,047.dat,0.2385673576096516,1.9196503560295075e-07,322.46096239999997,,,,,,,,,,,,,,,,,,,,,0.3135891169423424,2.414402594525601e-08,0.6259999999999981,148.0,0.8078653344015769,0.013756097560975613,0.2843190844090013,M15_2,Ndata,M15_2_047,322.46096239999997,12.1215959,,0.313587,,0.3135568,,,,0.3135891169423424,,0.313575,0.31335749999999996,0.313575,0.313587,1.0,,,15.919275641025644,RRc,0.4169669165816319,0.6812668077617959,0.09970979048014783
V005,,,,,,,,,,,136.0,0.5492373715019472,0.828151904052768,0.011554878048780557,12.1080853,0.301994402374368,052.dat,0.5547064128965297,2.1090883414257934e-07,322.4646267,,,,,,,,,,,,,,,,,,,,,0.3842119535473383,7.214155134547747e-08,0.5360000000000018,136.0,0.828151904052768,0.011554878048780557,0.301994402374368,M15_2,Ndata,M15_2_052,322.4646267,12.1080853,,0.384215,,0.3842009,,,,0.3842119535473383,,0.384533,,0.384221,0.384215,1.0,,,15.783993710691822,RRc,0.5129664897653993,0.5742117289855191,0.1122963109478956
V006,,,,,,,,,,,,,,,,,,,,,148.0,0.9139939469260304,0.26157566885698713,0.01835220125786164,12.188635699999999,0.3415968737343347,061.dat,0.6660056864575675,2.9413212809476522e-06,322.49950710000013,63.0,1.9950634487226129,0.2616318360684826,0.02107352941176473,12.1886378,0.8238297584112125,030.dat,0.6661205168451101,1.26214458049191e-06,322.4993565,0.6660150938740739,1.7339819844993046e-07,1.0160000000000005,148.0,0.26157566885698713,0.01835220125786164,0.3415968737343347,M15_3,Ndata,M15_3_061,322.49950710000013,12.188635699999999,0.6659999999999999,0.665967,,0.6659238000000001,,16.4,,0.4974920867954009,,0.6659649999999999,0.665971,0.665968,0.665967,1.0,,,15.855682119205296,RRab,0.6660150938740739,0.6167581993359903,1.0432561939111211
V007,,,,,,,,,,,,,,,,,,,,,133.0,0.5819984671980194,0.044778824519236864,0.019064102564102545,12.1878518,0.6682485838351551,053.dat,0.3675634371405662,1.2087470171930618e-06,322.49553039999995,95.0,0.5667798294732282,0.2109068949145096,0.019029702970297054,12.187846400000002,0.7921684935504127,041.dat,0.5821587625183703,1.0044032478176664e-07,322.495495,0.3675634371405662,1.2087470171930618e-06,0.6260000000000017,133.0,0.044778824519236864,0.019064102564102545,0.6682485838351551,M15_3,Ndata,M15_3_053,322.49553039999995,12.1878518,0.367557,0.367557,,0.3675779000000001,,,,0.3675634371405662,,0.348796,0.348796,0.367573,0.367557,1.0,,,15.966256756756751,RRc,0.486795921926015,0.6798789081916291,0.18832509312010606
V008,,,,,,,,,,,,,,,,,,,,,135.0,0.972512296200902,0.06332169820375716,0.015193333333333324,12.2026784,0.5293977141006783,040.dat,0.6462387771776766,3.919719371969393e-06,322.4923891,101.0,0.9626389383494108,0.05340404377824233,0.01447787610619469,12.2026772,0.6122223593790794,018.dat,0.6462506035748908,3.089473161752665e-07,322.4923597,0.6462387771776766,3.919719371969393e-06,0.9050000000000016,135.0,0.06332169820375716,0.015193333333333324,0.5293977141006783,M15_3,Ndata,M15_3_040,322.4923891,12.2026784,0.6462,0.64625,,0.6464081,,,,0.4734739844029792,,0.646245,0.646245,0.646247,0.64625,1.0,,,15.836861111111114,RRab,0.6462387771776766,0.3109715505346191,0.9698946440089156
V009,,,,,,,,,,,,,,,,,,,,,148.0,0.8110676193584787,0.04351346409925885,0.016198717948717908,12.2059231,0.5016350818468196,042.dat,0.7152820974283609,5.706788206816661e-07,322.4966559,94.0,0.8128888475959872,0.029872026060047036,0.013561224489795907,12.2059202,0.5682891835717001,029.dat,0.7152903811858025,6.236252021181969e-07,322.4966318,0.7152820974283609,5.706788206816661e-07,0.781000000000001,148.0,0.04351346409925885,0.016198717948717908,0.5016350818468196,M15_3,Ndata,M15_3_042,322.4966559,12.2059231,0.715295,0.715295,,0.7156435,,,,0.5266385542158147,,0.71527,0.71527,0.71528,0.715295,1.0,,,15.797020134228186,RRab,0.7152820974283609,0.1644775805734202,0.8576491558551158
V010,108.0,0.5077049023405262,0.05507231525075755,0.011857142857142887,12.1680116,0.61237664540239,059.dat,0.3863857074073205,2.9687278765446138e-06,322.52834289999987,,,,,,,,,,,148.0,0.5330159687922205,0.07327081036915377,0.014798742138364785,12.1680203,0.5425291316920747,055.dat,0.3863897209904466,2.082322288831159e-06,322.5283632,,,,,,,,,,,0.3863897209904466,2.082322288831159e-06,0.5220000000000007,148.0,0.07327081036915377,0.014798742138364785,0.5425291316920747,M15_3,Ndata,M15_3_055,322.5283632,12.1680203,0.386382,0.386382,0.386383,0.3863821,,,,0.3863897209904466,,0.39785,0.386395,0.386391,0.386382,1.0,,,15.931894039735102,RRc,0.5313150195458699,0.5898880180145945,0.2473247525233262
V011,124.0,0.7192488159927297,0.8939282190240081,0.011035294117646987,12.1617146,0.3888054813517181,077.dat,0.5107435189120839,1.1037398619636432e-05,322.5416071,,,,,,,,,,,141.0,0.7034591673118786,0.7988450145714959,0.014143790849673137,12.161713800000001,0.4779696644025904,085.dat,0.5107382432966056,8.849300228041454e-06,322.5415685,,,,,,,,,,,0.3432655101405605,5.470544527237541e-08,0.694999999999999,141.0,0.7988450145714959,0.014143790849673137,0.4779696644025904,M15_3,Ndata,M15_3_085,322.5415685,12.161713800000001,,0.343267,0.343267,0.3432007,,,,0.3432655101405605,,0.3435585,,0.34321,0.343267,1.0,,,15.891442176870749,RRc,0.4592717084179736,0.7327398791268678,0.1843424598338608
V012,120.0,0.8320998804939794,0.2238486930849123,0.01601764705882356,12.15353,0.9217168832690864,081.dat,0.592875643630205,5.15095364155985e-07,322.5387213,,,,,,,,,,,84.0,0.15687744579503615,0.05164928937528434,0.08179611650485434,12.155422900000001,6.7258835708534725,090.dat,1.1280946627022364,8.888338126055682e-06,322.53952589999994,,,,,,,,,,,0.592875643630205,5.15095364155985e-07,0.8529999999999984,120.0,0.2238486930849123,0.01601764705882356,0.9217168832690864,M15_1,Ndata,M15_1_081,322.5387213,12.15353,,0.5928479999999999,0.5928479999999999,0.5928004,,,,0.43068950297737096,,0.592916,,,0.5928479999999999,1.0,,,15.931291666666665,RRab,0.592875643630205,0.281865000257449,0.919368794413753
V013,120.0,1.0203941371294896,0.08668915587407243,0.01312352941176462,12.148511,0.4389419622022028,073.dat,0.5749109365196027,1.4311529481319457e-07,322.5287746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5749109365196027,1.4311529481319457e-07,0.9469999999999978,120.0,0.08668915587407243,0.01312352941176462,0.4389419622022028,M15_1,Ndata,M15_1_073,322.5287746,12.148511,0.57491,0.57491,0.57491,0.5748671,,,,0.43501952502608415,,0.57497,,0.574923,0.57491,1.0,,,15.97742335766423,RRab,0.5749109365196027,0.16420881879343696,0.9999729838291884
V014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.050715965424055e-08,0.4750000000000002,116.0,0.025254795154965645,0.007448275862069011,,M15_1,manual,M15_1_214,322.517114,12.09639,,0.38201,,0.3819919000000001,,,,,,0.382,,0.381997,0.38201,1.0,0.02207737233495502,,15.931218934911245,,,,
